Locality,Zip Code,Type of Property,Subtype of Property,Price,Type of Sale,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Any Fireplace ?,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url
Ittre,1460,House,house,1200000,for-sale,5,365,1,0,1,1,157.0,1,4000.0,1,4303,4.0,2005.0,A,61.0,As new,https://www.immoweb.be/en/classified/house/for-sale/ittre/1460/20215932
Meerdonk,9170,House,house,139000,for-sale,3,105,0,0,0,1,10.0,0,,0,97,,1954.0,F,843.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/meerdonk/9170/20304820
Ixelles,1050,Apartment,apartment,230000,for-sale,1,56,0,0,0,1,6.0,0,,0,,,1956.0,E,239.0,To renovate,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20202518
Braine-le-chateau,1440,House,exceptional-property,1200000,for-sale,4,365,0,0,0,1,156.0,1,4016.0,0,4303,4.0,2005.0,A,61.0,Good,https://www.immoweb.be/en/classified/exceptional-property/for-sale/braine-le-chateau/1440/20160100
Nieuwpoort,8620,Apartment,apartment,185000,for-sale,1,52,1,1,0,0,,0,,0,,,2008.0,D,335.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/20293429
Zeebrugge,8380,House,house,345000,for-sale,3,159,0,0,0,0,,0,,0,168,2.0,,B,104.0,Good,https://www.immoweb.be/en/classified/house/for-sale/zeebrugge/8380/20309858
Malmedy,4960,House,house,70000,for-sale,3,51,1,0,0,0,,0,,0,38,2.0,1850.0,E,358.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/malmedy/4960/20293453
Willebroek,2830,Apartment,apartment,228000,for-sale,2,75,0,0,0,1,3.0,0,,0,,,,C,238.0,Just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/20186738
Maldegem,9990,House,house,299000,for-sale,3,102,0,0,0,0,,0,,0,649,4.0,1982.0,D,369.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/maldegem/9990/20241791
Rotselaar,3110,House,house,810000,for-sale,4,351,0,0,0,0,,0,,0,2688,4.0,2002.0,B,173.0,Good,https://www.immoweb.be/en/classified/house/for-sale/rotselaar/3110/20050865
Jette,1090,House,apartment-block,1250000,for-sale,11,580,1,0,0,1,5.0,1,22.0,0,230,2.0,,D,176.0,Good,https://www.immoweb.be/en/classified/apartment-block/for-sale/jette/1090/11195033
Aix-sur-cloie,6792,House,villa,825000,for-sale,5,387,1,0,1,0,,0,,0,5320,4.0,1995.0,C,229.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/aix-sur-cloie/6792/20210084
Bouillon,6830,House,apartment-block,359000,for-sale,6,180,0,0,0,1,18.0,1,700.0,0,908,4.0,1999.0,E,382.0,Good,https://www.immoweb.be/en/classified/apartment-block/for-sale/bouillon/6830/20292116
Anderlecht,1070,Apartment,apartment,229000,for-sale,2,87,1,0,0,1,15.0,0,,0,,2.0,,B,94.0,Just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20116288
Sint-laureins,9980,House,house,329000,for-sale,3,182,0,0,0,0,,1,302.0,0,393,3.0,2024.0,,,,https://www.immoweb.be/en/classified/house/for-sale/sint-laureins/9980/20303373
Aix-sur-cloie,6792,House,house,825000,for-sale,5,387,1,0,1,0,,0,,0,5320,4.0,1995.0,C,229.0,As new,https://www.immoweb.be/en/classified/house/for-sale/aix-sur-cloie/6792/20164782
Heist-aan-zee,8301,Apartment,apartment,299000,for-sale,2,62,0,0,0,0,,0,,0,,,,B,104.0,To restore,https://www.immoweb.be/en/classified/apartment/for-sale/heist-aan-zee/8301/20311390
Gent,9041,House,house,458000,for-sale,4,193,0,0,1,1,30.0,1,410.0,0,554,3.0,1974.0,C,246.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/gent/9041/20063913
Oostende,8400,Apartment,penthouse,229000,for-sale,1,74,0,0,0,1,25.0,0,,0,,,,D,310.0,Good,https://www.immoweb.be/en/classified/penthouse/for-sale/oostende/8400/20207193
Paal,3583,House,house,375000,for-sale,3,199,0,0,0,0,,0,,0,1053,,1971.0,D,322.0,,https://www.immoweb.be/en/classified/house/for-sale/paal/3583/20277556
Sint-martens-lennik,1750,House,house,1145000,for-sale,3,610,1,0,0,1,93.0,1,1400.0,0,2972,4.0,1971.0,C,,Good,https://www.immoweb.be/en/classified/house/for-sale/sint-martens-lennik/1750/10950925
Dudzele,8380,House,country-cottage,1295000,for-sale,6,279,0,0,1,0,,0,,1,7820,4.0,1965.0,E,434.0,Good,https://www.immoweb.be/en/classified/country-cottage/for-sale/dudzele/8380/20092400
Rocourt,4000,House,villa,460000,for-sale,3,200,1,0,0,1,36.0,1,600.0,0,773,4.0,2003.0,C,195.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/rocourt/4000/20212301
Sint-eloois-vijve,8793,Apartment,ground-floor,229000,for-sale,2,82,0,0,0,0,,0,,0,,,2004.0,B,155.0,Good,https://www.immoweb.be/en/classified/ground-floor/for-sale/sint-eloois-vijve/8793/20221169
Vichte,8570,Apartment,apartment,249000,for-sale,2,90,1,0,0,0,,0,,0,,,2011.0,B,163.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/vichte/8570/20290914
Seraing,4100,House,apartment-block,169000,for-sale,2,120,0,0,0,1,6.0,0,,0,102,2.0,,D,340.0,,https://www.immoweb.be/en/classified/apartment-block/for-sale/seraing/4100/20285041
Tervuren,3080,House,mixed-use-building,1260000,for-sale,4,702,1,0,0,1,27.0,0,,0,506,2.0,1950.0,B,,As new,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/tervuren/3080/11276155
Herzele,9550,House,house,439300,for-sale,3,130,1,0,0,0,,1,500.0,0,85,3.0,2024.0,,,As new,https://www.immoweb.be/en/classified/house/for-sale/herzele/9550/20277088
Houyet,5561,House,house,1250000,for-sale,7,600,0,1,0,1,1.0,1,1.0,1,5500,4.0,,F,,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/houyet/5561/11279539
Wavre-limal,1300,House,exceptional-property,845000,for-sale,3,300,1,0,1,1,65.0,0,,1,543,3.0,1994.0,C,241.0,As new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/wavre-limal/1300/20197395
Uccle,1180,House,house,950000,for-sale,2,205,1,0,0,1,70.0,0,,0,855,4.0,,D,203.0,As new,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/11438278
Sint-niklaas,9100,House,house,239000,for-sale,6,145,1,0,0,0,,0,,0,75,2.0,1958.0,B,176.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/sint-niklaas/9100/20279263
Remicourt,4350,House,house,175000,for-sale,3,131,1,0,0,0,,1,269.0,0,348,2.0,,F,450.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/remicourt/4350/20286381
Dendermonde,9200,House,house,1500000,for-sale,3,389,0,0,0,0,,1,1407.0,1,1407,4.0,2018.0,A,32.0,Good,https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/20238368
Namur,5000,House,mixed-use-building,950000,for-sale,10,554,0,0,0,0,,0,,0,298,3.0,,E,353.0,To be done up,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/namur/5000/20004767
Auderghem,1160,House,villa,1265000,for-sale,5,261,1,0,0,1,20.0,1,400.0,0,751,4.0,1961.0,,,To renovate,https://www.immoweb.be/en/classified/villa/for-sale/auderghem/1160/11407856
Deurle,9831,House,villa,1575000,for-sale,4,468,0,0,0,0,,0,,0,2553,4.0,1971.0,F,817.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/deurle/9831/20156958
Antwerpen-zuid,2018,Apartment,apartment,255000,for-sale,2,88,1,0,0,1,12.0,0,,0,,3.0,1975.0,B,193.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-zuid/2018/20295670
Seilles,5300,House,house,245000,for-sale,3,95,0,0,0,0,,0,,0,1190,4.0,,E,408.0,,https://www.immoweb.be/en/classified/house/for-sale/seilles/5300/20286729
Woluwe-saint-pierre,1150,House,villa,1590000,for-sale,7,400,1,0,0,1,170.0,1,800.0,0,964,3.0,1969.0,E,255.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/woluwe-saint-pierre/1150/20119548
Tihange,4500,House,house,159000,for-sale,3,152,0,0,0,1,10.0,0,,0,150,4.0,,G,600.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/tihange/4500/20304412
Durbuy,6940,House,mixed-use-building,1150000,for-sale,,482,1,0,0,0,,0,,0,538,,2009.0,B,167.0,,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/durbuy/6940/20049764
Antwerpen,2060,Apartment,apartment,231000,for-sale,2,66,1,0,0,0,,0,,0,,2.0,,B,180.0,Just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20221425
Uccle,1180,House,house,1655000,for-sale,5,331,0,0,1,0,,0,,0,1093,4.0,1954.0,G,358.0,Good,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20214745
Kruibeke,9150,House,house,287000,for-sale,2,175,1,0,0,0,,0,,0,295,,1974.0,C,286.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/kruibeke/9150/20278616
Genval,1332,House,villa,985000,for-sale,5,274,1,0,0,0,,1,621.0,0,621,4.0,,B,168.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/genval/1332/10982111
Kraainem,1950,House,house,1290000,for-sale,4,310,1,0,0,1,60.0,1,130.0,0,615,4.0,1993.0,C,223.0,Good,https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/11487771
Anderlecht,1070,Apartment,ground-floor,270000,for-sale,1,66,1,0,0,1,21.0,1,65.0,0,,2.0,2023.0,,,As new,https://www.immoweb.be/en/classified/ground-floor/for-sale/anderlecht/1070/20294886
Aarschot,3200,Apartment,apartment,230000,for-sale,1,53,1,0,0,0,,0,,0,,,1969.0,B,148.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/aarschot/3200/20194055
Meulebeke,8760,House,house,309500,for-sale,3,168,0,0,0,0,,0,,0,773,4.0,1960.0,F,569.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/meulebeke/8760/20283292
Braine-lalleud,1420,House,exceptional-property,1250000,for-sale,4,450,0,0,0,1,300.0,1,200.0,1,2149,4.0,1996.0,C,255.0,As new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/braine-lalleud/1420/20050262
Wevelgem,8560,Apartment,apartment,235000,for-sale,2,75,0,0,0,1,9.0,0,,0,,,1963.0,B,110.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/wevelgem/8560/20242751
Wondelgem,9032,House,house,300000,for-sale,3,184,1,0,0,0,,0,,0,142,2.0,1930.0,F,505.0,Good,https://www.immoweb.be/en/classified/house/for-sale/wondelgem/9032/20278590
Puurs,2870,House,house,445000,for-sale,2,134,1,0,0,1,18.0,1,340.0,1,560,3.0,2002.0,C,250.0,As new,https://www.immoweb.be/en/classified/house/for-sale/puurs/2870/20309960
Antwerpen,2018,House,mixed-use-building,1275000,for-sale,4,481,0,0,0,0,,0,,0,203,2.0,,,,,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/antwerpen/2018/20060385
Diksmuide,8600,House,villa,1500000,for-sale,4,652,1,0,0,0,,0,,1,15000,,1979.0,D,379.0,To be done up,https://www.immoweb.be/en/classified/villa/for-sale/diksmuide/8600/20059054
Lasne,1380,House,villa,1895000,for-sale,6,485,1,0,0,1,100.0,1,4500.0,1,5582,4.0,1920.0,D,290.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/lasne/1380/20107386
Izegem,8870,House,mixed-use-building,379000,for-sale,2,171,1,0,0,0,,0,,0,227,,,B,,Good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/izegem/8870/20302735
Wevelgem,8560,Apartment,apartment,235000,for-sale,2,75,0,0,0,1,9.0,0,,0,,,1963.0,B,112.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/wevelgem/8560/20242746
Juprelle,4452,House,bungalow,320000,for-sale,4,158,1,0,0,1,30.0,1,200.0,0,622,4.0,1980.0,F,467.0,Good,https://www.immoweb.be/en/classified/bungalow/for-sale/juprelle/4452/20200190
Ixelles,1050,House,exceptional-property,1950000,for-sale,8,500,0,0,1,1,10.0,1,125.0,0,215,2.0,1910.0,G,,To be done up,https://www.immoweb.be/en/classified/exceptional-property/for-sale/ixelles/1050/20192278
Tintigny,6730,House,house,430000,for-sale,5,175,0,0,1,1,30.0,0,,0,1074,4.0,2007.0,C,216.0,Good,https://www.immoweb.be/en/classified/house/for-sale/tintigny/6730/20300737
De-haan,8420,Apartment,apartment,239000,for-sale,2,71,1,0,0,0,,0,,0,,,2003.0,C,226.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/de-haan/8420/20191510
Aubange,6790,Apartment,apartment,270000,for-sale,2,88,1,0,0,0,,0,,0,,,2015.0,B,149.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/aubange/6790/20249590
Edegem,2650,House,villa,1450000,for-sale,4,353,0,0,0,0,,0,,0,703,4.0,,B,149.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/edegem/2650/20205546
Overijse,3090,House,house,1795000,for-sale,7,484,1,0,0,0,,1,5500.0,0,5500,4.0,1970.0,C,263.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/overijse/3090/11314018
Overijse,3090,House,villa,495000,for-sale,2,171,0,0,0,0,,0,,0,1197,,,F,638.0,,https://www.immoweb.be/en/classified/villa/for-sale/overijse/3090/20285313
Elsene,1050,House,house,1350000,for-sale,5,232,0,0,0,1,21.0,1,21.0,0,,2.0,2025.0,,,Good,https://www.immoweb.be/en/classified/house/for-sale/elsene/1050/20026099
Woluwe-saint-pierre,1150,House,villa,1590000,for-sale,8,500,1,0,0,1,15.0,0,,0,800,4.0,1948.0,E,257.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/woluwe-saint-pierre/1150/11336167
Uccle,1180,House,villa,2100000,for-sale,5,629,1,0,0,1,40.0,1,2000.0,0,2400,4.0,1960.0,F,340.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/20220251
Sint-truiden,3800,House,house,289000,for-sale,3,190,0,0,0,0,,1,1500.0,0,2526,4.0,1962.0,D,327.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/sint-truiden/3800/20304229
Wevelgem,8560,Apartment,apartment,239000,for-sale,2,75,0,0,0,1,9.0,0,,0,,,1963.0,A,84.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/wevelgem/8560/20242748
Ganshoren,1083,Apartment,apartment,330000,for-sale,3,139,1,0,0,1,16.0,0,,0,,4.0,1964.0,E,229.0,As new,https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/20252070
Lievegem,9932,House,house,1495000,for-sale,5,1336,1,0,0,1,50.0,0,,0,3932,,1902.0,D,395.0,,https://www.immoweb.be/en/classified/house/for-sale/lievegem/9932/11117322
Ixelles,1050,House,house,2150000,for-sale,3,311,1,0,1,1,65.0,0,,0,336,2.0,1950.0,C,127.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/20177494
Liege,4020,House,house,139000,for-sale,4,128,1,0,0,1,20.0,1,46.0,0,129,2.0,1899.0,D,318.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/liege/4020/20286168
Sint-gillis-dendermonde,9200,House,house,315000,for-sale,3,115,1,0,0,1,35.0,0,,0,100,2.0,1956.0,B,121.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/sint-gillis-dendermonde/9200/20302712
Wevelgem,8560,Apartment,apartment,239000,for-sale,2,75,0,0,0,1,9.0,0,,0,,,1963.0,A,85.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/wevelgem/8560/20242747
Arendonk,2370,House,mansion,1850000,for-sale,6,884,0,0,0,0,,0,,1,1210,4.0,2007.0,B,121.0,As new,https://www.immoweb.be/en/classified/mansion/for-sale/arendonk/2370/11413765
Gistel,8470,Apartment,apartment,358500,for-sale,3,128,1,0,0,1,12.0,0,,0,,,2024.0,,,Good,https://www.immoweb.be/en/classified/apartment/for-sale/gistel/8470/20248435
Uccle,1180,House,villa,2150000,for-sale,8,549,0,0,0,1,75.0,1,3200.0,0,3237,4.0,1968.0,G,493.0,To renovate,https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/11128146
Braine-lalleud,1420,House,castle,1850000,for-sale,6,750,1,0,0,0,,0,,0,6444,4.0,1993.0,D,274.0,Good,https://www.immoweb.be/en/classified/castle/for-sale/braine-lalleud/1420/20029934
Blankenberge,8370,Apartment,apartment,140000,for-sale,2,67,0,0,0,0,,0,,0,,,,B,147.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20303192
Heusden-zolder,3550,House,house,375000,for-sale,3,174,1,0,0,0,,1,227.0,0,,3.0,2024.0,,,,https://www.immoweb.be/en/classified/house/for-sale/heusden-zolder/3550/20303314
Gent,8980,Apartment,apartment,245000,for-sale,1,45,0,0,0,1,8.0,0,,0,,,1975.0,C,224.0,To be done up,https://www.immoweb.be/en/classified/apartment/for-sale/gent/8980/20156963
Antwerpen,2000,House,house,2295000,for-sale,6,505,1,0,0,0,,1,45.0,0,190,2.0,1850.0,C,212.0,As new,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2000/20074142
Gistel,8470,Apartment,apartment,365000,for-sale,3,129,1,0,0,1,13.0,0,,0,,,2024.0,,,Good,https://www.immoweb.be/en/classified/apartment/for-sale/gistel/8470/20248429
Braine-lalleud,1420,House,house,1850000,for-sale,6,750,1,0,0,0,,0,,0,6444,4.0,1993.0,D,274.0,Good,https://www.immoweb.be/en/classified/house/for-sale/braine-lalleud/1420/20029936
Liege,4000,Apartment,apartment,199000,for-sale,3,104,0,0,0,0,,0,,0,,2.0,,C,252.0,Just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/20269000
Liege,4020,House,house,134000,for-sale,3,116,0,0,0,0,,1,120.0,0,739,2.0,1850.0,G,556.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/liege/4020/20287391
Uccle,1180,House,villa,1800000,for-sale,4,219,1,0,0,1,60.0,1,4500.0,0,5300,4.0,1958.0,G,565.0,To renovate,https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/10939492
Asse,1730,House,villa,2175000,for-sale,6,630,1,0,0,0,,1,70470.0,1,70800,4.0,1962.0,E,463.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/asse/1730/20027724
Meulebeke,8760,House,house,397600,for-sale,4,189,0,0,0,0,,0,,0,388,,,A,19.0,Good,https://www.immoweb.be/en/classified/house/for-sale/meulebeke/8760/20302638
Blankenberge,8370,Apartment,apartment,185000,for-sale,2,72,0,0,0,0,,0,,0,,,,A,98.0,To be done up,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20304264
De-haan,8420,Apartment,apartment,248000,for-sale,2,59,1,1,0,0,,0,,0,,,2008.0,C,246.0,Just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/de-haan/8420/20059260
Evergem,9940,Apartment,apartment,396800,for-sale,3,109,0,0,0,0,,0,,0,,,1973.0,B,105.0,,https://www.immoweb.be/en/classified/apartment/for-sale/evergem/9940/20248223
Ixelles,1050,House,mixed-use-building,1900000,for-sale,5,405,1,0,0,0,,0,,0,270,2.0,1950.0,D,156.0,As new,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ixelles/1050/20059850
Woluwe-saint-pierre,1150,House,house,2500000,for-sale,20,750,1,0,0,0,,1,977.0,0,1203,3.0,1964.0,,,To be done up,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/11137709
Ixelles,1050,House,villa,2250000,for-sale,7,500,1,0,0,1,120.0,1,350.0,0,1130,4.0,1950.0,G,403.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/ixelles/1050/11450067
Liege,4000,Apartment,apartment,199000,for-sale,1,72,1,0,0,0,,0,,0,,2.0,1918.0,B,131.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/20306316
Schaerbeek,1030,Apartment,apartment,249000,for-sale,2,83,1,0,0,0,,1,35.0,0,,2.0,,E,250.0,Just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20229627
Gedinne-bourseigne-vieille,5575,House,house,190000,for-sale,3,133,1,0,0,1,10.0,1,700.0,0,878,3.0,1850.0,F,499.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/gedinne-bourseigne-vieille/5575/20258731
Knokke-heist,8300,House,villa,2495000,for-sale,5,350,1,0,0,0,,1,937.0,1,937,4.0,,B,190.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/knokke-heist/8300/11203793
Verviers,4800,House,house,239000,for-sale,5,143,1,0,0,1,20.0,1,180.0,1,280,2.0,1900.0,D,278.0,As new,https://www.immoweb.be/en/classified/house/for-sale/verviers/4800/20284139
Ellezelles,7890,House,country-cottage,498000,for-sale,3,180,1,0,0,0,,0,,0,1697,4.0,,C,196.0,Good,https://www.immoweb.be/en/classified/country-cottage/for-sale/ellezelles/7890/20287478
Bredene,8450,Apartment,duplex,172000,for-sale,2,73,1,0,0,0,,0,,0,,,,F,,Good,https://www.immoweb.be/en/classified/duplex/for-sale/bredene/8450/20265026
Ixelles,1050,House,house,2500000,for-sale,21,855,0,0,0,1,65.0,1,108.0,0,365,2.0,,G,491.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/20143952
Koksijde,8670,Apartment,apartment,249000,for-sale,3,60,0,0,0,0,,0,,0,,,1930.0,C,299.0,Just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/20075992
Knokke-zoute,8300,House,villa,5695000,for-sale,6,290,0,0,0,0,,0,,1,988,,1991.0,B,198.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/knokke-zoute/8300/11294942
Roeselare,8800,Apartment,apartment,254900,for-sale,3,118,0,0,0,0,,0,,0,,,1984.0,B,191.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/11362878
Ferrieres,4190,House,house,239000,for-sale,3,177,0,0,0,0,,1,1453.0,0,1642,2.0,,E,393.0,Good,https://www.immoweb.be/en/classified/house/for-sale/ferrieres/4190/20195825
Rumbeke,8800,Apartment,apartment,219000,for-sale,2,77,1,0,0,0,,0,,0,,,2017.0,A,71.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/rumbeke/8800/20261795
Gent-sint-amandsberg,9040,House,house,469000,for-sale,3,167,1,0,0,0,,1,45.0,0,114,2.0,1899.0,B,173.0,As new,https://www.immoweb.be/en/classified/house/for-sale/gent-sint-amandsberg/9040/20303989
Antwerpen,2018,House,house,2800000,for-sale,7,851,0,0,0,0,,1,98.0,0,513,2.0,1910.0,C,267.0,As new,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2018/11326583
Hasselt,3500,House,villa,2450000,for-sale,4,440,0,0,0,0,,1,4600.0,0,4379,4.0,1976.0,A,,As new,https://www.immoweb.be/en/classified/villa/for-sale/hasselt/3500/11466924
Saint-ghislain,7330,Apartment,apartment,249000,for-sale,2,100,1,0,0,1,5.0,0,,0,,3.0,2009.0,B,166.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/saint-ghislain/7330/11362609
Antwerpen,2000,House,exceptional-property,2785000,for-sale,5,398,1,0,0,0,,0,,0,100,2.0,2023.0,,,Good,https://www.immoweb.be/en/classified/exceptional-property/for-sale/antwerpen/2000/11031701
Deurle,9831,House,villa,4450000,for-sale,5,453,1,0,0,0,,0,,0,5484,4.0,1967.0,F,515.0,To renovate,https://www.immoweb.be/en/classified/villa/for-sale/deurle/9831/20102143
Bruxelles,1000,Apartment,apartment,325000,for-sale,1,53,1,0,0,0,,0,,0,,2.0,,D,180.0,Just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20307381
Rhode-saint-genese,1640,House,villa,2695000,for-sale,6,404,1,0,0,1,90.0,1,1700.0,1,2621,4.0,1970.0,D,330.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/rhode-saint-genese/1640/11476259
Knokke-heist-knokke,8300,House,house,2985000,for-sale,5,276,0,0,0,0,,0,,0,5460,4.0,1986.0,C,207.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist-knokke/8300/20129949
Knokke-heist-knokke,8300,House,villa,6395000,for-sale,5,368,1,0,0,1,74.0,0,,1,1143,4.0,,B,121.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/knokke-heist-knokke/8300/11317187
Knokke-heist,8300,House,house,3950000,for-sale,5,392,1,0,0,0,,0,,1,930,4.0,2018.0,A,71.0,As new,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/10850346
Oudenaarde,9700,House,house,398000,for-sale,3,165,0,0,0,0,,0,,0,645,2.0,1978.0,C,240.0,Good,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20287732
Ixelles,1050,House,mansion,2750000,for-sale,6,540,1,0,0,1,180.0,1,130.0,0,308,2.0,1923.0,D,183.0,As new,https://www.immoweb.be/en/classified/mansion/for-sale/ixelles/1050/20119382
Bambrugge,9420,Apartment,apartment,239000,for-sale,2,121,1,0,0,0,,0,,0,,2.0,2009.0,B,104.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/bambrugge/9420/20263565
Zwevegem,8550,House,house,268000,for-sale,3,163,0,0,0,0,,1,165.0,0,350,2.0,,C,249.0,As new,https://www.immoweb.be/en/classified/house/for-sale/zwevegem/8550/20311609
Knokke-heist,8300,House,house,3950000,for-sale,5,392,1,0,0,0,,0,,1,930,4.0,2018.0,A,71.0,As new,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/11365345
Drongen,9031,House,house,2925000,for-sale,4,550,0,0,0,0,,0,,0,4291,4.0,1970.0,F,,To be done up,https://www.immoweb.be/en/classified/house/for-sale/drongen/9031/20023203
Woluwe-saint-lambert,1200,Apartment,apartment,449000,for-sale,2,110,0,0,0,1,100.0,0,,0,,3.0,1970.0,F,344.0,To be done up,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20185839
Oudenaarde,9700,Apartment,apartment,259000,for-sale,3,118,0,0,0,1,9.0,0,,0,,2.0,,A,99.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/11105773
Nevele,9850,Apartment,apartment,310000,for-sale,2,123,1,0,0,0,,0,,0,,,1992.0,C,205.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/nevele/9850/20261669
Knokke-heist,8300,House,villa,4195000,for-sale,8,395,1,0,0,0,,0,,0,699,3.0,1919.0,E,480.0,To renovate,https://www.immoweb.be/en/classified/villa/for-sale/knokke-heist/8300/10960588
Knokke-heist-knokke,8300,House,villa,6395000,for-sale,5,368,1,0,0,1,74.0,0,,1,1143,4.0,,B,121.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/knokke-heist-knokke/8300/10675426
Haaltert,9450,Apartment,apartment,275000,for-sale,2,108,0,0,0,0,,0,,0,,,2004.0,B,196.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/haaltert/9450/20153987
Bruxelles,1000,Apartment,apartment,345000,for-sale,1,53,1,0,0,0,,0,,0,,2.0,,D,151.0,Just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20307827
Oostende,8400,Apartment,apartment,183000,for-sale,2,86,1,0,0,1,1.0,0,,0,,2.0,1995.0,B,182.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20285721
