Locality,Zip Code,Type of Property,Subtype of Property,Price,Type of Sale,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Any Fireplace ?,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url
Brasschaat,2930,House,villa,775000,for-sale,4,333,0,0,1,0,,0,,0,1719,4.0,1953.0,F,605.0,To renovate,https://www.immoweb.be/en/classified/villa/for-sale/brasschaat/2930/20260280
Mortsel,2640,Apartment,ground-floor,225000,for-sale,1,55,1,0,0,1,30.0,1,106.0,0,,2.0,1956.0,D,316.0,Good,https://www.immoweb.be/en/classified/ground-floor/for-sale/mortsel/2640/20262780
Anderlecht,1070,Apartment,apartment,270000,for-sale,2,75,1,1,0,1,8.0,0,,0,,,1994.0,D,168.0,As new,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20221575
Saint-gilles,1060,House,mixed-use-building,899000,for-sale,5,253,0,0,0,0,,1,30.0,0,90,2.0,1900.0,F,293.0,Good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/saint-gilles/1060/20230928
Wavre,1300,House,house,695000,for-sale,5,325,1,0,0,0,,0,,0,3175,4.0,1976.0,C,249.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/wavre/1300/20218729
Zonhoven,3520,House,house,775000,for-sale,3,242,1,0,0,0,,0,,0,1576,4.0,1999.0,C,240.0,,https://www.immoweb.be/en/classified/house/for-sale/zonhoven/3520/20164990
Schaerbeek,1030,Apartment,apartment,199000,for-sale,1,55,1,0,0,0,,0,,0,,2.0,1900.0,G,426.0,As new,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20280668
Oostduinkerke,8670,House,house,780775,for-sale,3,211,0,0,0,0,,0,,0,1361,,,,,,https://www.immoweb.be/en/classified/house/for-sale/oostduinkerke/8670/20235886
Liege-jupillesur-meuse,4020,House,house,155000,for-sale,3,120,0,0,0,0,,0,,0,90,3.0,,F,476.0,Good,https://www.immoweb.be/en/classified/house/for-sale/liege-jupillesur-meuse/4020/20301548
Leuven,3000,Apartment,flat-studio,245000,for-sale,1,30,1,1,0,1,6.0,0,,0,,,1971.0,B,113.0,Good,https://www.immoweb.be/en/classified/flat-studio/for-sale/leuven/3000/20287715
Liege,4000,Apartment,apartment,187000,for-sale,2,78,1,0,0,0,,0,,0,,2.0,1979.0,C,198.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/20276213
Uccle,1180,House,villa,1290000,for-sale,3,230,1,0,0,0,,0,,0,2400,4.0,1936.0,G,505.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/20301622
Braine-lalleud,1420,House,villa,1395000,for-sale,5,520,1,0,0,0,,1,3400.0,0,3727,4.0,1975.0,C,202.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/braine-lalleud/1420/20208910
Assenede-boekhoute,9961,House,castle,2950000,for-sale,9,1699,1,0,0,1,550.0,1,16500.0,0,65193,4.0,,,,As new,https://www.immoweb.be/en/classified/castle/for-sale/assenede-boekhoute/9961/20241818
Knokke-heist,8300,House,house,795000,for-sale,3,200,1,0,0,0,,0,,0,125,2.0,1963.0,B,183.0,Good,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/10455158
Petegem-aan-de-leie,9800,Apartment,apartment,199000,for-sale,2,78,1,0,0,1,2.0,0,,0,,2.0,1973.0,A,98.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/petegem-aan-de-leie/9800/20308481
Deurne,2100,Apartment,apartment,189000,for-sale,3,93,1,0,0,1,5.0,0,,0,,,1968.0,C,293.0,To be done up,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20274144
Virton-ethe,6760,House,house,555000,for-sale,7,330,1,0,0,1,20.0,1,700.0,0,956,4.0,2007.0,C,235.0,Good,https://www.immoweb.be/en/classified/house/for-sale/virton-ethe/6760/20283742
Saint-nicolas,4420,Apartment,apartment,139500,for-sale,1,42,1,0,0,1,10.0,0,,0,,2.0,,,,Just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/saint-nicolas/4420/20305346
Antwerpen,2018,House,mansion,1675000,for-sale,8,681,0,0,0,1,30.0,1,215.0,0,358,2.0,1913.0,D,309.0,To renovate,https://www.immoweb.be/en/classified/mansion/for-sale/antwerpen/2018/20256811
Antwerpen-berchem,2600,Apartment,apartment,159900,for-sale,2,77,1,0,0,1,5.0,0,,0,,2.0,,B,129.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-berchem/2600/20302974
